scenario_id,root_depth_m,depletion_fraction_p,kc_multiplier,is_baseline,mean_et0_mm_day,mean_etc_mm_day,mean_depletion_mm,max_depletion_mm,taw_mm,raw_mm,n_days_high_stress,n_days_medium_stress,n_days_low_stress,pct_days_high_stress,delta_mean_etc,delta_mean_depletion,delta_n_high_stress
1,0.8,0.4,0.9,False,4.86330225050047,3.36452715323663,60.81421292297797,101.11842329430476,101.11842329430476,40.44736931772191,306,36,217,54.74,-0.3738,-35.47,9
2,0.8,0.4,1.0,False,4.86330225050047,3.738363503596255,63.1669669891995,101.11842329430476,101.11842329430476,40.44736931772191,317,32,210,56.71,0.0,-33.12,20
3,0.8,0.4,1.1,False,4.86330225050047,4.1121998539558815,65.84360294865276,101.11842329430476,101.11842329430476,40.44736931772191,327,30,202,58.5,0.3738,-30.44,30
4,0.8,0.5,0.9,False,4.86330225050047,3.36452715323663,60.81421292297797,101.11842329430476,101.11842329430476,50.55921164715238,295,31,233,52.77,-0.3738,-35.47,-2
5,0.8,0.5,1.0,False,4.86330225050047,3.738363503596255,63.1669669891995,101.11842329430476,101.11842329430476,50.55921164715238,307,28,224,54.92,0.0,-33.12,10
6,0.8,0.5,1.1,False,4.86330225050047,4.1121998539558815,65.84360294865276,101.11842329430476,101.11842329430476,50.55921164715238,318,28,213,56.89,0.3738,-30.44,21
7,0.8,0.6,0.9,False,4.86330225050047,3.36452715323663,60.81421292297797,101.11842329430476,101.11842329430476,60.671053976582854,282,24,253,50.45,-0.3738,-35.47,-15
8,0.8,0.6,1.0,False,4.86330225050047,3.738363503596255,63.1669669891995,101.11842329430476,101.11842329430476,60.671053976582854,295,22,242,52.77,0.0,-33.12,-2
9,0.8,0.6,1.1,False,4.86330225050047,4.1121998539558815,65.84360294865276,101.11842329430476,101.11842329430476,60.671053976582854,307,20,232,54.92,0.3738,-30.44,10
10,1.0,0.4,0.9,False,4.86330225050047,3.36452715323663,76.03361958381934,126.39802911788095,126.39802911788095,50.55921164715238,306,32,221,54.74,-0.3738,-20.25,9
11,1.0,0.4,1.0,False,4.86330225050047,3.738363503596255,79.79517982606967,126.39802911788095,126.39802911788095,50.55921164715238,316,37,206,56.53,0.0,-16.49,19
12,1.0,0.4,1.1,False,4.86330225050047,4.1121998539558815,83.34701366568547,126.39802911788095,126.39802911788095,50.55921164715238,327,35,197,58.5,0.3738,-12.94,30
13,1.0,0.5,0.9,False,4.86330225050047,3.36452715323663,76.03361958381934,126.39802911788095,126.39802911788095,63.199014558940476,291,32,236,52.06,-0.3738,-20.25,-6
14,1.0,0.5,1.0,False,4.86330225050047,3.738363503596255,79.79517982606967,126.39802911788095,126.39802911788095,63.199014558940476,302,30,227,54.03,0.0,-16.49,5
15,1.0,0.5,1.1,False,4.86330225050047,4.1121998539558815,83.34701366568547,126.39802911788095,126.39802911788095,63.199014558940476,312,30,217,55.81,0.3738,-12.94,15
16,1.0,0.6,0.9,False,4.86330225050047,3.36452715323663,76.03361958381934,126.39802911788095,126.39802911788095,75.83881747072857,274,32,253,49.02,-0.3738,-20.25,-23
17,1.0,0.6,1.0,False,4.86330225050047,3.738363503596255,79.79517982606967,126.39802911788095,126.39802911788095,75.83881747072857,290,26,243,51.88,0.0,-16.49,-7
18,1.0,0.6,1.1,False,4.86330225050047,4.1121998539558815,83.34701366568547,126.39802911788095,126.39802911788095,75.83881747072857,301,26,232,53.85,0.3738,-12.94,4
19,1.2,0.4,0.9,False,4.86330225050047,3.36452715323663,92.10991396567509,151.67763494145714,151.67763494145714,60.67105397658286,300,41,218,53.67,-0.3738,-4.17,3
20,1.2,0.4,1.0,False,4.86330225050047,3.738363503596255,96.28446656244904,151.67763494145714,151.67763494145714,60.67105397658286,312,38,209,55.81,0.0,0.0,15
21,1.2,0.4,1.1,False,4.86330225050047,4.1121998539558815,100.23484176511882,151.67763494145714,151.67763494145714,60.67105397658286,321,45,193,57.42,0.3738,3.95,24
22,1.2,0.5,0.9,False,4.86330225050047,3.36452715323663,92.10991396567509,151.67763494145714,151.67763494145714,75.83881747072857,286,32,241,51.16,-0.3738,-4.17,-11
23,1.2,0.5,1.0,True,4.86330225050047,3.738363503596255,96.28446656244904,151.67763494145714,151.67763494145714,75.83881747072857,297,37,225,53.13,0.0,0.0,0
24,1.2,0.5,1.1,False,4.86330225050047,4.1121998539558815,100.23484176511882,151.67763494145714,151.67763494145714,75.83881747072857,312,32,215,55.81,0.3738,3.95,15
25,1.2,0.6,0.9,False,4.86330225050047,3.36452715323663,92.10991396567509,151.67763494145714,151.67763494145714,91.00658096487429,268,32,259,47.94,-0.3738,-4.17,-29
26,1.2,0.6,1.0,False,4.86330225050047,3.738363503596255,96.28446656244904,151.67763494145714,151.67763494145714,91.00658096487429,281,31,247,50.27,0.0,0.0,-16
27,1.2,0.6,1.1,False,4.86330225050047,4.1121998539558815,100.23484176511882,151.67763494145714,151.67763494145714,91.00658096487429,295,26,238,52.77,0.3738,3.95,-2
28,1.5,0.4,0.9,False,4.86330225050047,3.36452715323663,115.24612681308301,189.59704367682144,189.59704367682144,75.83881747072859,290,46,223,51.88,-0.3738,18.96,-7
29,1.5,0.4,1.0,False,4.86330225050047,3.738363503596255,120.08788900171909,189.59704367682144,189.59704367682144,75.83881747072859,309,68,182,55.28,0.0,23.8,12
30,1.5,0.4,1.1,False,4.86330225050047,4.1121998539558815,125.20814484768164,189.59704367682144,189.59704367682144,75.83881747072859,320,83,156,57.25,0.3738,28.92,23
31,1.5,0.5,0.9,False,4.86330225050047,3.36452715323663,115.24612681308301,189.59704367682144,189.59704367682144,94.79852183841072,279,36,244,49.91,-0.3738,18.96,-18
32,1.5,0.5,1.0,False,4.86330225050047,3.738363503596255,120.08788900171909,189.59704367682144,189.59704367682144,94.79852183841072,289,35,235,51.7,0.0,23.8,-8
33,1.5,0.5,1.1,False,4.86330225050047,4.1121998539558815,125.20814484768164,189.59704367682144,189.59704367682144,94.79852183841072,301,52,206,53.85,0.3738,28.92,4
34,1.5,0.6,0.9,False,4.86330225050047,3.36452715323663,115.24612681308301,189.59704367682144,189.59704367682144,113.75822620609286,264,26,269,47.23,-0.3738,18.96,-33
35,1.5,0.6,1.0,False,4.86330225050047,3.738363503596255,120.08788900171909,189.59704367682144,189.59704367682144,113.75822620609286,277,32,250,49.55,0.0,23.8,-20
36,1.5,0.6,1.1,False,4.86330225050047,4.1121998539558815,125.20814484768164,189.59704367682144,189.59704367682144,113.75822620609286,289,31,239,51.7,0.3738,28.92,-8
